機構名稱,地址,電話,,,,
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,,,,
臺北市立聯合醫院,臺北市大同區鄭州路145號,(02)25523234,,,,
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27462151,,,,
博仁綜合醫院,臺北市松山區光復北路66號、68號,(02)25786677,,,,
秀傳醫院,臺北市大安區光復南路116巷1、3、5號,(02)27717172,,,,
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,(02)23059292,,,,
臺北醫學大學附設醫院,臺北市信義區吳興街252號、250號,(02)27372181,,,,
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號,(02)28332211,,,,
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,(02)28712121,,,,
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,(02)28587000,,,,
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311,,,,
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,,,,
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,(02)29331010,,,,
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,(02)27082121,,,,
